type,item
asn,945
asn,1002
asn,1012
asn,6186
asn,6517
asn,7719
asn,7833
asn,9663
asn,12839
asn,16512
asn,24322
asn,32177
asn,33617
asn,37589
asn,46664
asn,47158
asn,47449
asn,49867
asn,50058
asn,50580
asn,50738
asn,51202
asn,51396
asn,51930
asn,52292
asn,54625
asn,57416
asn,57481
asn,59486
asn,60539
asn,60858
asn,61302
asn,62853
asn,137509
asn,141011
asn,141892
asn,142031
asn,142158
asn,142634
asn,198980
asn,199025
asn,202685
asn,202736
asn,205432
asn,211256
asn,211358
asn,211849
asn,212271
asn,212276
asn,212483
asn,212516
asn,214320
asn,215310
asn,215828
asn,215930
asn,262929
asn,263692
asn,265741
asn,393577
asn,401039
asn,401218
